"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"5023","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"7758","k","s","e","FALSE","f","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"7465","k","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"5410","f","s","b","TRUE","f","FALSE","c","b","p","t","b","f","s","w","w","p","w","o","p","h","s","p"
"7280","k","s","n","FALSE","y","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"4301","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4587","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"655","x","y","w","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","p"
"7003","k","s","e","FALSE","s","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"4651","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"6306","x","s","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"6723","x","s","n","FALSE","s","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"4546","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"6732","x","s","n","FALSE","s","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"4368","f","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","p"
"6740","f","y","n","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"4620","x","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"6774","x","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"6945","f","y","n","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"6361","f","y","n","FALSE","f","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"6675","f","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"5606","f","s","w","TRUE","n","FALSE","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","p"
"4147","x","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4468","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"6433","x","y","e","FALSE","y","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"6295","x","y","e","FALSE","y","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"3605","x","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4598","f","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3776","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"5210","x","s","g","TRUE","f","FALSE","c","b","h","t","b","f","f","w","w","p","w","o","p","h","s","p"
"5798","f","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"5857","f","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"5115","x","s","b","TRUE","f","FALSE","c","b","w","t","b","f","s","w","w","p","w","o","p","h","v","p"
"4926","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"5081","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"7477","x","s","e","FALSE","y","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"5052","x","y","e","FALSE","y","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"6086","f","y","n","FALSE","s","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"5663","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4579","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4695","x","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"5743","f","s","g","TRUE","f","FALSE","c","b","p","t","b","s","f","w","w","p","w","o","p","h","s","p"
"3035","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3948","f","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"7439","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"6291","x","s","n","FALSE","y","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"4545","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"5193","x","y","n","FALSE","s","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"3332","x","s","p","FALSE","c","FALSE","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"4628","f","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"5371","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"1538","x","s","w","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","p"
"4483","x","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"7781","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"6076","x","s","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"5490","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"4378","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"2534","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","p"
"7467","k","y","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"5216","f","y","p","TRUE","n","FALSE","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","p"
"6620","f","s","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"2376","f","s","w","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"139","x","s","n","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"6554","f","s","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6416","x","y","e","FALSE","m","FALSE","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","p"
"3835","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"4360","f","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"6815","f","s","e","FALSE","s","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6970","k","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"5814","f","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"7398","k","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"6966","f","s","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"8091","k","s","n","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"799","x","s","w","TRUE","p","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"5036","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"5002","x","y","n","FALSE","n","FALSE","c","n","w","e","?","k","y","w","n","p","w","o","e","w","v","p"
"4865","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","p"
"3458","x","f","w","FALSE","c","FALSE","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"5655","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3955","x","f","g","FALSE","c","FALSE","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"7327","x","y","e","FALSE","f","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"7657","f","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"5872","x","y","n","FALSE","f","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"5911","x","s","w","TRUE","f","FALSE","c","b","h","t","b","s","f","w","w","p","w","o","p","h","s","p"
"6092","f","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4731","f","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"7782","k","y","e","FALSE","s","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"6735","f","s","n","FALSE","y","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"4960","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"3566","x","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"7907","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"7071","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"5254","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4076","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"7114","k","s","n","FALSE","f","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"6626","x","y","e","FALSE","s","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"3382","x","s","p","FALSE","c","FALSE","w","n","p","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3053","x","s","w","FALSE","c","FALSE","c","n","p","e","b","s","s","w","w","p","w","o","p","k","v","p"
"1811","f","s","n","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","p"
"7982","k","y","c","FALSE","m",NA,"c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","p"
"6022","f","s","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"6699","f","y","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"4477","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"6031","f","s","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"5747","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","p"
"7909","k","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6508","f","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"4325","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"6355","f","s","n","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"5013","x","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3756","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"3928","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3042","f","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"7458","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"6378","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"4205","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4525","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"5257","x","s","w","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","p"
"3805","x","f","p","FALSE","c","FALSE","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"4974","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"4044","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"4833","f","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3738","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"7599","k","s","n","FALSE","f","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"3655","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"7244","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4739","x","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","p"
"4230","x","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"4741","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"6011","f","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"7950","k","s","e","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"4770","x","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"6249","x","s","n","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"6133","f","s","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"6748","f","s","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"4905","x","y","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"6731","x","s","e","FALSE","f","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"1232","f","y","w","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"6422","f","y","e","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"7626","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"4487","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"6237","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"3091","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","p"
"4959","x","s","b","TRUE","f","FALSE","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","p"
"6784","f","s","n","FALSE","y","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"7092","f","y","n","FALSE","m","FALSE","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","p"
"4841","b","s","b","TRUE","n","FALSE","c","b","g","e","b","s","s","w","w","p","w","t","p","r","v","p"
"6285","f","s","e","FALSE","y","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"5124","x","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"5452","x","s","g","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","s","p"
"6701","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"4015","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"1740","f","s","w","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","p"
"2386","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3967","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"5077","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"1324","f","y","w","TRUE","p","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","p"
"6356","x","s","n","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"3086","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4250","x","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"6005","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"5823","x","s","w","TRUE","f","FALSE","c","b","w","t","b","f","f","w","w","p","w","o","p","h","v","p"
"5704","b","y","b","TRUE","n","FALSE","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","p"
"3931","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"5960","x","s","g","TRUE","f","FALSE","c","b","p","t","b","f","s","w","w","p","w","o","p","h","s","p"
"1746","f","s","w","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"6759","x","y","e","FALSE","s","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"4335","x","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"5073","x","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3976","x","s","p","FALSE","c","FALSE","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"7636","x","y","e","FALSE","m","FALSE","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","p"
"7219","k","y","n","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6452","x","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"3609","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"5106","x","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"4977","f","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"4006","x","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"1133","x","s","n","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"6080","x","s","n","FALSE","s","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"4045","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","p"
"4248","x","s","b","TRUE","f","FALSE","c","b","p","t","b","f","s","w","w","p","w","o","p","h","s","p"
"5532","f","s","b","TRUE","f","FALSE","c","b","p","t","b","f","f","w","w","p","w","o","p","h","v","p"
"5912","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3688","x","f","w","FALSE","c","FALSE","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"6886","x","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"6007","k","y","n","FALSE","y","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"796","x","y","n","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","p"
"5359","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"5561","x","s","w","TRUE","f","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","h","v","p"
"6725","x","y","e","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"5134","x","y","n","FALSE","y","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"6549","f","y","e","FALSE","s","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"4568","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"6059","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"6028","f","s","n","FALSE","y","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"6994","f","s","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6910","k","y","e","FALSE","f","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6668","x","s","e","FALSE","s","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"6934","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"2483","x","s","p","FALSE","c","FALSE","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"7268","k","y","e","FALSE","y","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"2861","x","s","p","FALSE","c","FALSE","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"7682","k","s","e","FALSE","f","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"4666","x","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"7504","k","y","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"4307","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
